id	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16	HUGO
ENSG00000007237:013	0	0	GAS7
ENSG00000007237:014	0	0	GAS7
ENSG00000007237:015	0	0	GAS7
ENSG00000007237:016	0	0	GAS7
ENSG00000007237:017	0	0	GAS7
ENSG00000007237:018	0	0	GAS7
ENSG00000007237:019	0	0	GAS7
ENSG00000007237:020	0	0	GAS7
ENSG00000007237:021	0	0	GAS7
ENSG00000007237:022	0	0	GAS7
ENSG00000007237:023	0	0	GAS7
ENSG00000007237:024	0	0	GAS7
ENSG00000007237:025	0	0	GAS7
ENSG00000007237:026	0	0	GAS7
ENSG00000007237:027	0	0	GAS7
ENSG00000007237:028	0	0	GAS7
ENSG00000007237:029	0	0	GAS7
ENSG00000007237:030	0	0	GAS7
ENSG00000007237:031	0	0	GAS7
ENSG00000007237:032	0	0	GAS7
ENSG00000007237:033	0	0	GAS7
ENSG00000007237:034	0	0	GAS7
ENSG00000007237:035	0	0	GAS7
ENSG00000007237:036	0	0	GAS7
ENSG00000007237:037	0	0	GAS7
ENSG00000007237:038	0	0	GAS7
ENSG00000007237:039	0	0	GAS7
ENSG00000007237:040	0	0	GAS7
ENSG00000007237:041	0	0	GAS7
ENSG00000007237:042	0	0	GAS7
ENSG00000007237:043	0	0	GAS7
ENSG00000007237:044	0	0	GAS7
ENSG00000007237:045	0	0	GAS7
ENSG00000007237:046	0	0	GAS7
ENSG00000007237:047	0	0	GAS7
ENSG00000007237:048	0	0	GAS7
ENSG00000007237:049	0	0	GAS7
ENSG00000007237:050	0	0	GAS7
ENSG00000007312:001	0	0	CD79B
ENSG00000007312:002	0	0	CD79B
ENSG00000007312:003	0	0	CD79B
ENSG00000007312:004	0	0	CD79B
ENSG00000007312:005	0	0	CD79B
ENSG00000007312:006	0	0	CD79B
ENSG00000007312:007	0	0	CD79B
ENSG00000007312:008	0	0	CD79B
ENSG00000007312:009	0	0	CD79B
ENSG00000007312:010	0	0	CD79B
ENSG00000007312:011	0	0	CD79B
ENSG00000007312:012	0	0	CD79B
ENSG00000007312:013	0	0	CD79B
ENSG00000007312:014	0	0	CD79B
ENSG00000007312:015	0	0	CD79B
ENSG00000007312:016	0	0	CD79B
ENSG00000009709:001	0	0	PAX7
ENSG00000009709:002	0	0	PAX7
ENSG00000009709:003	0	0	PAX7
ENSG00000009709:004	0	0	PAX7
ENSG00000009709:005	0	0	PAX7
ENSG00000009709:006	0	0	PAX7
ENSG00000009709:007	0	0	PAX7
ENSG00000009709:008	0	0	PAX7
ENSG00000009709:009	0	0	PAX7
