#Transcript position	Transcript coverage profile
0.0	0.3256678635751842
1.0	0.3907676486341922
2.0	0.3398702926736361
3.0	0.255018786170334
4.0	0.22121678151734908
5.0	0.18654230085357607
6.0	0.13347311026236972
7.0	0.150086385852101
8.0	0.17802696595406386
9.0	0.16836081100157627
10.0	0.12565194309208383
11.0	0.12669307243171585
12.0	0.14336960151103617
13.0	0.15847517890852864
14.0	0.17579623146304954
15.0	0.23125249720980204
16.0	0.2933235399205084
17.0	0.3104616209726933
18.0	0.36007995080152694
19.0	0.3453129008570682
20.0	0.31330683733631254
21.0	0.33271718034336234
22.0	0.3405805073843453
23.0	0.31896607790449516
24.0	0.32749103458191176
25.0	0.3185969441919467
26.0	0.3364471982589731
27.0	0.3361282925402405
28.0	0.3835365513634522
29.0	0.36675619847766594
30.0	0.30543058404421464
31.0	0.283032628335537
32.0	0.3583594230788212
33.0	0.43568739431904524
34.0	0.36197768537586983
35.0	0.32047852178676306
36.0	0.25943363853592205
37.0	0.24712595945424917
38.0	0.24126475734437172
39.0	0.2164155026734763
40.0	0.17976624061620244
41.0	0.17117291548835528
42.0	0.16833573541071783
43.0	0.21177867426847993
44.0	0.28335999497722214
45.0	0.3338941646579238
46.0	0.35196846081087535
47.0	0.3293381057757692
48.0	0.2919647279123994
49.0	0.24814840376237807
50.0	0.2601397658832455
51.0	0.23254304601096804
52.0	0.1947393882805933
53.0	0.2128994559033814
54.0	0.24497098438382534
55.0	0.22558911351839706
56.0	0.22710038602542768
57.0	0.1963689555965289
58.0	0.30726689826204306
59.0	0.2897925466816354
60.0	0.29698641784919644
61.0	0.3271950661236639
62.0	0.32158456104925515
63.0	0.34867349722129826
64.0	0.2872264568661752
65.0	0.2714507131646654
66.0	0.22490342563476945
67.0	0.19011299588383224
68.0	0.2251607616887094
69.0	0.2941300448240326
70.0	0.3101437478542194
71.0	0.32031963158407517
72.0	0.2959630008071623
73.0	0.3087943118531381
74.0	0.3082551406177013
75.0	0.28594805956564423
76.0	0.26284279319517184
77.0	0.2800694579418219
78.0	0.2596546904602692
79.0	0.27935044012686355
80.0	0.25311852403013546
81.0	0.2630137457476861
82.0	0.2545024658236224
83.0	0.2218720378279736
84.0	0.25097080138059236
85.0	0.23825789743059114
86.0	0.2504102827437691
87.0	0.2546764776210179
88.0	0.26917223287442305
89.0	0.2980955775524134
90.0	0.20679217138762776
91.0	0.15485864439003277
92.0	0.13239522169205217
93.0	0.13475251531379395
94.0	0.15302245221823482
95.0	0.12156799784247393
96.0	0.05719228770261622
97.0	0.043441039302147676
98.0	0.05979118892727178
99.0	0.038703318621270445
