#Transcript position	Transcript coverage profile
0.0	0.37827301144299996
1.0	0.43982188948283074
2.0	0.3949657559814077
3.0	0.31361075297460905
4.0	0.29394461245748826
5.0	0.2575806399240581
6.0	0.21022854254472642
7.0	0.22487697654726677
8.0	0.24000618386797976
9.0	0.2621530340001479
10.0	0.2488843849274467
11.0	0.271798389010268
12.0	0.3381474163565935
13.0	0.3590264229678576
14.0	0.31965911146568743
15.0	0.3994061483781116
16.0	0.4463832592805253
17.0	0.4582750834863757
18.0	0.49790720212827116
19.0	0.47293040216297016
20.0	0.43521079992821926
21.0	0.43008570265128876
22.0	0.4505604012513534
23.0	0.4385265558834221
24.0	0.4435747574518712
25.0	0.4082848833176385
26.0	0.4041115463888841
27.0	0.3905162121898355
28.0	0.43155937922815896
29.0	0.4252046104410889
30.0	0.37002567305739487
31.0	0.34702326860597044
32.0	0.4191018389264764
33.0	0.5022609143378539
34.0	0.4484355395058302
35.0	0.40024402512335017
36.0	0.32957634289008386
37.0	0.36576602547784254
38.0	0.3871234401557053
39.0	0.3686910854526371
40.0	0.3165218806344887
41.0	0.30512553091882366
42.0	0.3126475103733969
43.0	0.34974252178574766
44.0	0.4176522281743576
45.0	0.4589436007887324
46.0	0.45005121039646007
47.0	0.4205100788639836
48.0	0.44733203637197444
49.0	0.3846032384377397
50.0	0.4421570423410115
51.0	0.43685784978999914
52.0	0.40327252518411383
53.0	0.4353949788060739
54.0	0.48958418676689786
55.0	0.4637830969132266
56.0	0.488659997159804
57.0	0.43895822121436023
58.0	0.5122901477337434
59.0	0.5036924916871521
60.0	0.5190674677323047
61.0	0.5338195487483007
62.0	0.4781743386753439
63.0	0.48335727822943575
64.0	0.4169638499040476
65.0	0.3971996885678047
66.0	0.3842783801547941
67.0	0.3670116621502081
68.0	0.41397949680498025
69.0	0.4886765941620669
70.0	0.492972089510507
71.0	0.45748625781124574
72.0	0.44339625175760816
73.0	0.4615578905978215
74.0	0.4370823121886831
75.0	0.44640000684582243
76.0	0.47606562281947196
77.0	0.5048854098163611
78.0	0.501936511357408
79.0	0.5349760981651012
80.0	0.5375212854061
81.0	0.5095062660190569
82.0	0.4719920434875479
83.0	0.4387379841724244
84.0	0.444604659775047
85.0	0.32949354819532334
86.0	0.33540968163429624
87.0	0.3396023744873183
88.0	0.3555764872220739
89.0	0.38370056654396606
90.0	0.28975512419942656
91.0	0.22611169631816355
92.0	0.1692867983886873
93.0	0.14087845670263224
94.0	0.1680631378431938
95.0	0.11899614956399573
96.0	0.0478682790034496
97.0	0.04344103930214768
98.0	0.05979118892727178
99.0	0.03870331862127044
