#Transcript position	Transcript coverage profile
0.0	0.3807633268829558
1.0	0.4458631119419638
2.0	0.3949657559814077
3.0	0.3136107529746091
4.0	0.29394461245748826
5.0	0.25758063992405816
6.0	0.21307147076078903
7.0	0.22914136887136058
8.0	0.24615418417581567
9.0	0.2721447349100207
10.0	0.2570513540744521
11.0	0.27930167169644315
12.0	0.3445252066398425
13.0	0.36170978611633703
14.0	0.33837953705832907
15.0	0.40264547764640424
16.0	0.44638325928052536
17.0	0.4582750834863758
18.0	0.49962214115266146
19.0	0.4752169875288238
20.0	0.4352107999282192
21.0	0.43008570265128876
22.0	0.4505604012513533
23.0	0.43887438197037854
24.0	0.4460095400605666
25.0	0.40828488331763835
26.0	0.40411154638888397
27.0	0.4004778558915847
28.0	0.45076509293925204
29.0	0.4314721772393954
30.0	0.37002567305739476
31.0	0.34702326860597055
32.0	0.4240098143865991
33.0	0.5119262703468159
34.0	0.4484355395058303
35.0	0.4063402585220003
36.0	0.33822794774230736
37.0	0.37364871178204284
38.0	0.3918883702700636
39.0	0.3695360368679306
40.0	0.32589395186223014
41.0	0.3130025034865179
42.0	0.3190144542403409
43.0	0.3616141617629882
44.0	0.4319609268994399
45.0	0.46710976446705677
46.0	0.4753040054989395
47.0	0.4502177175816756
48.0	0.4715465103354294
49.0	0.39615712256497115
50.0	0.4502987337259864
51.0	0.45358373063563506
52.0	0.4134638739957913
53.0	0.437330078538137
54.0	0.48958418676689797
55.0	0.4743876042344687
56.0	0.5090687654608104
57.0	0.44772742344190963
58.0	0.5463405637490143
59.0	0.5270913669679087
60.0	0.5323873633528146
61.0	0.5487572622916622
62.0	0.505095578828408
63.0	0.5119773998787911
64.0	0.41961250108535575
65.0	0.41424575557359844
66.0	0.39290362157669034
67.0	0.3769362353935587
68.0	0.4163613943833845
69.0	0.4886765941620671
70.0	0.49297208951050725
71.0	0.4607157410939206
72.0	0.45346464081535903
73.0	0.46420780338153567
74.0	0.4472197692333567
75.0	0.45147205501794346
76.0	0.4850826715449775
77.0	0.5157720436871304
78.0	0.5069061456373873
79.0	0.5450246082136113
80.0	0.5396869125717272
81.0	0.5194537134665042
82.0	0.4725103572401395
83.0	0.44732621995485516
84.0	0.45438645059521243
85.0	0.33250332998614357
86.0	0.3354096816342962
87.0	0.3396023744873183
88.0	0.3555764872220739
89.0	0.383700566543966
90.0	0.29295256624578947
91.0	0.22611169631816358
92.0	0.16928679838868732
93.0	0.1555408288262221
94.0	0.1737318135142988
95.0	0.13452542115404179
96.0	0.059266976499296714
97.0	0.043441039302147676
98.0	0.05979118892727178
99.0	0.038703318621270445
