Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
8	35.2066115702	36.0	36.0	36.0	36.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
9	35.4380165289	36.0	36.0	36.0	36.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
10	35.326446281	36.0	36.0	36.0	34.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
12	35.5619834711	36.0	36.0	36.0	36.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
14	34.979338843	36.0	36.0	36.0	34.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
16	35.0082644628	36.0	36.0	36.0	34.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
18	34.673553719	36.0	36.0	36.0	34.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
20	35.4380165289	36.0	36.0	36.0	36.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
22	34.8595041322	36.0	36.0	36.0	34.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
24	34.673553719	36.0	36.0	36.0	32.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
26	34.5785123967	36.0	36.0	36.0	29.5	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
28	34.520661157	36.0	36.0	36.0	32.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
30	34.5041322314	36.0	36.0	36.0	34.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
32	33.8636363636	36.0	36.0	36.0	29.5	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
34	34.4380165289	36.0	34.0	36.0	34.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
36	34.3140495868	36.0	36.0	36.0	32.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
38	33.4752066116	36.0	36.0	36.0	23.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
40	34.6859504132	36.0	36.0	36.0	34.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
42	34.6458333333	36.0	36.0	36.0	34.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
44	33.9375	36.0	36.0	36.0	28.5	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
46	34.4875	36.0	36.0	36.0	34.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
48	33.1083333333	36.0	36.0	36.0	14.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
50	34.2125	36.0	36.0	36.0	26.5	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
52	34.4166666667	36.0	36.0	36.0	36.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
54	33.9666666667	36.0	36.0	36.0	23.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
56	33.2958333333	36.0	36.0	36.0	20.5	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
58	34.2666666667	36.0	36.0	36.0	32.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
60	34.1666666667	36.0	36.0	36.0	32.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
62	34.4291666667	36.0	36.0	36.0	34.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
64	34.1541666667	36.0	36.0	36.0	32.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
66	34.5208333333	36.0	36.0	36.0	36.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
68	34.7791666667	36.0	36.0	36.0	34.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
70	34.3166666667	36.0	36.0	36.0	29.5	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
72	32.875	36.0	34.0	36.0	17.5	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
74	34.6457563025	36.0	36.0	36.0	32.0	36.0	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
76	33.2820512821						PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15
