Tile	Base	Mean	sample
1104	9	0.180613144229	brain100-1-1
1104	10-11	0.179258341678	brain100-1-1
1104	12-13	0.172783476254	brain100-1-1
1104	14-15	0.176390293703	brain100-1-1
1104	16-17	0.186188910839	brain100-1-1
1104	18-19	0.14947424253	brain100-1-1
1104	20-21	0.181254728216	brain100-1-1
1104	22-23	0.130441827858	brain100-1-1
1104	24-25	0.164155507132	brain100-1-1
1104	26-27	0.1697643806	brain100-1-1
1104	28-29	0.109036778297	brain100-1-1
1104	30-31	0.202831487834	brain100-1-1
1104	32-33	0.167016889251	brain100-1-1
1104	34-35	0.212628370923	brain100-1-1
1104	36-37	0.186057101696	brain100-1-1
1104	38-39	0.1867480866	brain100-1-1
1104	40-41	0.130950536752	brain100-1-1
1104	42-43	0.0349898638905	brain100-1-1
1104	44-45	0.173495408775	brain100-1-1
1104	46-47	0.111436417536	brain100-1-1
1104	48-49	0.176326763461	brain100-1-1
1104	50-51	0.103486124377	brain100-1-1
1104	52-53	0.165573204661	brain100-1-1
1104	54-55	0.210913407737	brain100-1-1
1104	56-57	0.235321899856	brain100-1-1
1104	58-59	0.119251955792	brain100-1-1
1104	60-61	0.225132511556	brain100-1-1
1104	62-63	0.182785462473	brain100-1-1
1104	64-65	0.0145781576986	brain100-1-1
1104	66-67	0.128950965901	brain100-1-1
1104	68-69	-0.169031394452	brain100-1-1
1104	70-71	0.134536383609	brain100-1-1
1104	72-73	0.198331702379	brain100-1-1
1104	74-75	0.129891701117	brain100-1-1
1104	76-77	0.14768991293	brain100-1-1
1104	78-79	0.173171200028	brain100-1-1
1104	80-81	0.191383251737	brain100-1-1
1104	82-83	0.252982235169	brain100-1-1
1104	84-85	-0.126988114229	brain100-1-1
1104	86-87	-0.192600382425	brain100-1-1
1104	88-89	0.200846441028	brain100-1-1
1104	90-91	0.129587164684	brain100-1-1
1104	92-93	0.0645301875304	brain100-1-1
1104	94-95	0.278370825301	brain100-1-1
1104	96-97	0.276468346912	brain100-1-1
1104	98-99	0.0299453002333	brain100-1-1
1104	100	0.170505552858	brain100-1-1
1105	1	0.193784311734	brain100-1-1
1105	2	0.260570312446	brain100-1-1
1105	3	0.254992337556	brain100-1-1
1105	4	-0.0821902538639	brain100-1-1
1105	5	-0.0232057766687	brain100-1-1
1105	6	0.0796051350146	brain100-1-1
1105	7	0.119438849506	brain100-1-1
1105	8	-0.032683495827	brain100-1-1
1105	9	-0.0193868557709	brain100-1-1
1105	10-11	0.0292583416781	brain100-1-1
1105	12-13	0.122783476254	brain100-1-1
1105	14-15	0.0263902937031	brain100-1-1
1105	16-17	-0.0638110891607	brain100-1-1
1105	18-19	0.0828075758631	brain100-1-1
1105	20-21	0.0312547282156	brain100-1-1
1105	22-23	-0.0362248388085	brain100-1-1
1105	24-25	-0.0358444928684	brain100-1-1
1105	26-27	0.0697643806004	brain100-1-1
1105	28-29	0.00903677829745	brain100-1-1
1105	30-31	0.052831487834	brain100-1-1
1105	32-33	0.100350222584	brain100-1-1
1105	34-35	0.0626283709234	brain100-1-1
1105	36-37	-0.0639428983044	brain100-1-1
1105	38-39	-0.1632519134	brain100-1-1
1105	40-41	-0.00238279658174	brain100-1-1
1105	42-43	0.101656530557	brain100-1-1
1105	44-45	0.106828742108	brain100-1-1
1105	46-47	0.0614364175364	brain100-1-1
1105	48-49	0.109660096794	brain100-1-1
1105	50-51	0.153486124377	brain100-1-1
1105	52-53	0.146274959047	brain100-1-1
1105	54-55	0.0530186708944	brain100-1-1
1105	56-57	0.0774271630139	brain100-1-1
1105	58-59	0.0613572189494	brain100-1-1
1105	60-61	0.119869353661	brain100-1-1
1105	62-63	0.196820550193	brain100-1-1
1105	64-65	0.195279912085	brain100-1-1
1105	66-67	0.123687808006	brain100-1-1
1105	68-69	0.232118030835	brain100-1-1
1105	70-71	0.234536383609	brain100-1-1
1105	72-73	0.198331702379	brain100-1-1
1105	74-75	0.171068171705	brain100-1-1
1105	76-77	0.214356579596	brain100-1-1
1105	78-79	0.242218819075	brain100-1-1
1105	80-81	0.168274008039	brain100-1-1
1105	82-83	0.194158705758	brain100-1-1
1105	84-85	0.184558726729	brain100-1-1
1105	86-87	0.12684406202	brain100-1-1
1105	88-89	0.277769517951	brain100-1-1
1105	90-91	0.244971780069	brain100-1-1
1105	92-93	0.194337879838	brain100-1-1
1105	94-95	0.278370825301	brain100-1-1
1105	96-97	-0.0985316530884	brain100-1-1
1105	98-99	0.0147197363235	brain100-1-1
1105	100	0.295505552858	brain100-1-1
1106	1	0.193784311734	brain100-1-1
1106	2	0.260570312446	brain100-1-1
1106	3	-0.173579091015	brain100-1-1
1106	4	-0.210761682435	brain100-1-1
1106	5	0.276794223331	brain100-1-1
1106	6	-0.391823436414	brain100-1-1
1106	7	-0.351989721922	brain100-1-1
1106	8	0.0244593613158	brain100-1-1
1106	9	-0.390815427199	brain100-1-1
1106	10-11	0.036401198821	brain100-1-1
1106	12-13	-0.327216523746	brain100-1-1
1106	14-15	-0.109323992011	brain100-1-1
1106	16-17	0.186188910839	brain100-1-1
1106	18-19	0.039950433006	brain100-1-1
1106	20-21	0.0383975853584	brain100-1-1
1106	22-23	0.0209180183343	brain100-1-1
1106	24-25	0.0212983642745	brain100-1-1
1106	26-27	-0.115949905114	brain100-1-1
1106	28-29	-0.00524893598826	brain100-1-1
1106	30-31	-0.154311369309	brain100-1-1
1106	32-33	-0.228221205987	brain100-1-1
1106	34-35	-0.430228771934	brain100-1-1
1106	36-37	-0.313942898304	brain100-1-1
1106	38-39	0.0438909437425	brain100-1-1
1106	40-41	-0.230954225153	brain100-1-1
1106	42-43	-0.155486326586	brain100-1-1
1106	44-45	-0.221742686463	brain100-1-1
1106	46-47	-0.299552593453	brain100-1-1
1106	48-49	-0.433197046063	brain100-1-1
1106	50-51	-0.225085304194	brain100-1-1
1106	52-53	-0.158236319149	brain100-1-1
1106	54-55	-0.0748008779778	brain100-1-1
1106	56-57	-0.0503923858583	brain100-1-1
1106	58-59	-0.0664623299227	brain100-1-1
1106	60-61	-0.132010345587	brain100-1-1
1106	62-63	-0.212086332398	brain100-1-1
1106	64-65	-0.700806457686	brain100-1-1
1106	66-67	-0.309510572561	brain100-1-1
1106	68-69	-0.15249735378	brain100-1-1
1106	70-71	-0.150079001006	brain100-1-1
1106	72-73	-0.263206759159	brain100-1-1
1106	74-75	0.0760455472704	brain100-1-1
1106	76-77	0.137433502673	brain100-1-1
1106	78-79	0.0114495883059	brain100-1-1
1106	80-81	0.143764204118	brain100-1-1
1106	82-83	-0.262169279982	brain100-1-1
1106	84-85	-0.00661774385904	brain100-1-1
1106	86-87	0.00184406201952	brain100-1-1
1106	88-89	-0.472230482049	brain100-1-1
1106	90-91	-0.171694886598	brain100-1-1
1106	92-93	-0.243162120162	brain100-1-1
1106	94-95	-0.320114023183	brain100-1-1
1106	96-97	-0.378077107634	brain100-1-1
1106	98-99	-1.36186756526	brain100-1-1
1106	100	-1.03782778048	brain100-1-1
1107	1	0.193784311734	brain100-1-1
1107	2	-0.139429687554	brain100-1-1
1107	3	0.254992337556	brain100-1-1
1107	4	0.217809746136	brain100-1-1
1107	5	-0.523205776669	brain100-1-1
1107	6	-0.0870615316521	brain100-1-1
1107	7	-0.313894483827	brain100-1-1
1107	8	-0.232683495827	brain100-1-1
1107	9	0.0472798108958	brain100-1-1
1107	10-11	0.179258341678	brain100-1-1
1107	12-13	-0.227216523746	brain100-1-1
1107	14-15	-0.0902763729636	brain100-1-1
1107	16-17	-0.213811089161	brain100-1-1
1107	18-19	-0.217192424137	brain100-1-1
1107	20-21	-0.152078605118	brain100-1-1
1107	22-23	-0.169558172142	brain100-1-1
1107	24-25	-0.102511159535	brain100-1-1
1107	26-27	-0.2302356194	brain100-1-1
1107	28-29	-0.0576298883692	brain100-1-1
1107	30-31	-0.0638351788327	brain100-1-1
1107	32-33	-0.132983110749	brain100-1-1
1107	34-35	-0.187371629077	brain100-1-1
1107	36-37	-0.0139428983044	brain100-1-1
1107	38-39	-0.079918580067	brain100-1-1
1107	40-41	-0.0690494632484	brain100-1-1
1107	42-43	0.13498986389	brain100-1-1
1107	44-45	0.140162075442	brain100-1-1
1107	46-47	0.14476975087	brain100-1-1
1107	48-49	-0.190339903206	brain100-1-1
1107	50-51	0.00348612437712	brain100-1-1
1107	52-53	0.065573204661	brain100-1-1
1107	54-55	0.0109134077365	brain100-1-1
1107	56-57	0.035321899856	brain100-1-1
1107	58-59	0.0859186224582	brain100-1-1
1107	60-61	-0.0415341551106	brain100-1-1
1107	62-63	-0.0172145375267	brain100-1-1
1107	64-65	-0.285421842301	brain100-1-1
1107	66-67	-0.171049034099	brain100-1-1
1107	68-69	0.0987846975021	brain100-1-1
1107	70-71	-0.165463616391	brain100-1-1
1107	72-73	0.131665035713	brain100-1-1
1107	74-75	0.0965583677832	brain100-1-1
1107	76-77	0.0810232462629	brain100-1-1
1107	78-79	0.108885485742	brain100-1-1
1107	80-81	-0.272902462549	brain100-1-1
1107	82-83	-0.175589193402	brain100-1-1
1107	84-85	-0.113760601002	brain100-1-1
1107	86-87	0.0375583477338	brain100-1-1
1107	88-89	0.063483803665	brain100-1-1
1107	90-91	0.019697054794	brain100-1-1
1107	92-93	0.0425521655524	brain100-1-1
1107	94-95	0.0640851110157	brain100-1-1
1107	96-97	-0.15210308166	brain100-1-1
1107	98-99	-0.0236502270464	brain100-1-1
1107	100	-0.704494447142	brain100-1-1
1108	1	0.193784311734	brain100-1-1
1108	2	0.260570312446	brain100-1-1
1108	3	-0.266746792878	brain100-1-1
1108	4	0.217809746136	brain100-1-1
1108	5	0.276794223331	brain100-1-1
1108	6	0.0926486132755	brain100-1-1
1108	7	0.132482327767	brain100-1-1
1108	8	0.0803599824338	brain100-1-1
1108	9	0.180613144229	brain100-1-1
1108	10-11	0.00534529819986	brain100-1-1
1108	12-13	0.129305215384	brain100-1-1
1108	14-15	-0.0410010106448	brain100-1-1
1108	16-17	-0.074680654378	brain100-1-1
1108	18-19	0.0523727932544	brain100-1-1
1108	20-21	0.137776467346	brain100-1-1
1108	22-23	0.0768186394524	brain100-1-1
1108	24-25	-0.0532357972162	brain100-1-1
1108	26-27	0.1697643806	brain100-1-1
1108	28-29	0.122080256558	brain100-1-1
1108	30-31	0.115874966095	brain100-1-1
1108	32-33	0.113393700845	brain100-1-1
1108	34-35	0.169150110054	brain100-1-1
1108	36-37	0.0991005799565	brain100-1-1
1108	38-39	0.14326982573	brain100-1-1
1108	40-41	0.0671824208096	brain100-1-1
1108	42-43	0.158178269688	brain100-1-1
1108	44-45	0.163350481239	brain100-1-1
1108	46-47	0.167958156667	brain100-1-1
1108	48-49	0.166181835925	brain100-1-1
1108	50-51	-0.144339962579	brain100-1-1
1108	52-53	-0.148919548962	brain100-1-1
1108	54-55	0.0370003642583	brain100-1-1
1108	56-57	0.144412808947	brain100-1-1
1108	58-59	0.0828883194279	brain100-1-1
1108	60-61	0.179677966102	brain100-1-1
1108	62-63	0.158543038231	brain100-1-1
1108	64-65	0.111547854668	brain100-1-1
1108	66-67	0.0925873295374	brain100-1-1
1108	68-69	0.141208939926	brain100-1-1
1108	70-71	0.234536383609	brain100-1-1
1108	72-73	0.198331702379	brain100-1-1
1108	74-75	0.184437155662	brain100-1-1
1108	76-77	-0.0129161476765	brain100-1-1
1108	78-79	-0.0305084536521	brain100-1-1
1108	80-81	0.0907339010875	brain100-1-1
1108	82-83	0.116618598806	brain100-1-1
1108	84-85	0.195763208522	brain100-1-1
1108	86-87	0.2042250144	brain100-1-1
1108	88-89	-0.0555638153826	brain100-1-1
1108	90-91	-0.0407425056456	brain100-1-1
1108	92-93	0.00683787983809	brain100-1-1
1108	94-95	0.0283708253014	brain100-1-1
1108	96-97	0.0659420311221	brain100-1-1
1108	98-99	-0.0255580414542	brain100-1-1
1108	100	0.11368737104	brain100-1-1
1109	1	0.193784311734	brain100-1-1
1109	2	0.260570312446	brain100-1-1
1109	3	0.0407066232707	brain100-1-1
1109	4	0.00352403185041	brain100-1-1
1109	5	-0.366062919526	brain100-1-1
1109	6	0.0367479921575	brain100-1-1
1109	7	0.00515313522069	brain100-1-1
1109	8	0.0244593613158	brain100-1-1
1109	9	0.109184572801	brain100-1-1
1109	10-11	0.0006869131067	brain100-1-1
1109	12-13	0.0299263333968	brain100-1-1
1109	14-15	-0.0736097062969	brain100-1-1
1109	16-17	0.0433317679822	brain100-1-1
1109	18-19	0.039950433006	brain100-1-1
1109	20-21	0.0741118710727	brain100-1-1
1109	22-23	0.0566323040486	brain100-1-1
1109	24-25	0.092726935703	brain100-1-1
1109	26-27	-0.0445213336853	brain100-1-1
1109	28-29	0.101893921155	brain100-1-1
1109	30-31	0.0242600592626	brain100-1-1
1109	32-33	0.0932073654412	brain100-1-1
1109	34-35	-0.00165734336233	brain100-1-1
1109	36-37	0.0789142445528	brain100-1-1
1109	38-39	0.00817665802819	brain100-1-1
1109	40-41	0.0904743462754	brain100-1-1
1109	42-43	0.0945136734143	brain100-1-1
1109	44-45	0.0996858849655	brain100-1-1
1109	46-47	-0.00284929674932	brain100-1-1
1109	48-49	-0.147482760349	brain100-1-1
1109	50-51	0.06062898152	brain100-1-1
1109	52-53	0.16319225228	brain100-1-1
1109	54-55	0.0680562648794	brain100-1-1
1109	56-57	-0.014678100144	brain100-1-1
1109	58-59	-0.102176615637	brain100-1-1
1109	60-61	-0.0248674884439	brain100-1-1
1109	62-63	-0.000547870860025	brain100-1-1
1109	64-65	-0.0735170803966	brain100-1-1
1109	66-67	0.0860938230439	brain100-1-1
1109	68-69	0.053546602264	brain100-1-1
1109	70-71	-0.0154636163905	brain100-1-1
1109	72-73	0.0911888452365	brain100-1-1
1109	74-75	0.122748843974	brain100-1-1
1109	76-77	-0.0713577061181	brain100-1-1
1109	78-79	-0.114924038068	brain100-1-1
1109	80-81	0.0485261088797	brain100-1-1
1109	82-83	0.0386965208836	brain100-1-1
1109	84-85	-0.0423320295733	brain100-1-1
1109	86-87	0.00184406201952	brain100-1-1
1109	88-89	0.0608383010195	brain100-1-1
1109	90-91	0.0597865948835	brain100-1-1
1109	92-93	-0.0764954534952	brain100-1-1
1109	94-95	-0.0620850151544	brain100-1-1
1109	96-97	-0.377377806935	brain100-1-1
1109	98-99	0.0204214907095	brain100-1-1
1109	100	0.152648410001	brain100-1-1
1110	1	-0.0205014025515	brain100-1-1
1110	2	0.0462845981601	brain100-1-1
1110	3	0.254992337556	brain100-1-1
1110	4	0.217809746136	brain100-1-1
1110	5	0.276794223331	brain100-1-1
1110	6	0.108176563586	brain100-1-1
1110	7	-0.0662754362079	brain100-1-1
1110	8	0.167316504173	brain100-1-1
1110	9	0.180613144229	brain100-1-1
1110	10-11	0.179258341678	brain100-1-1
1110	12-13	0.101354904825	brain100-1-1
1110	14-15	0.0692474365602	brain100-1-1
1110	16-17	0.0790460536965	brain100-1-1
1110	18-19	-0.0314781384226	brain100-1-1
1110	20-21	0.0741118710727	brain100-1-1
1110	22-23	0.0566323040486	brain100-1-1
1110	24-25	0.128441221417	brain100-1-1
1110	26-27	0.0983358091718	brain100-1-1
1110	28-29	0.173322492583	brain100-1-1
1110	30-31	0.16711720212	brain100-1-1
1110	32-33	0.0932073654412	brain100-1-1
1110	34-35	-0.00165734336233	brain100-1-1
1110	36-37	0.0789142445528	brain100-1-1
1110	38-39	0.115319515171	brain100-1-1
1110	40-41	0.161902917704	brain100-1-1
1110	42-43	0.0945136734143	brain100-1-1
1110	44-45	0.0282573135369	brain100-1-1
1110	46-47	-0.00284929674932	brain100-1-1
1110	48-49	0.0310886682229	brain100-1-1
1110	50-51	0.06062898152	brain100-1-1
1110	52-53	0.127477966566	brain100-1-1
1110	54-55	0.139484836308	brain100-1-1
1110	56-57	0.0210361855703	brain100-1-1
1110	58-59	0.0406805272201	brain100-1-1
1110	60-61	0.225132511556	brain100-1-1
1110	62-63	0.24945212914	brain100-1-1
1110	64-65	0.105054348175	brain100-1-1
1110	66-67	0.157522394472	brain100-1-1
1110	68-69	0.124975173693	brain100-1-1
1110	70-71	0.234536383609	brain100-1-1
1110	72-73	0.0554745595222	brain100-1-1
1110	74-75	-0.0584680872432	brain100-1-1
1110	76-77	0.0662084314481	brain100-1-1
1110	78-79	0.094070670927	brain100-1-1
1110	80-81	0.078949389303	brain100-1-1
1110	82-83	0.141871124058	brain100-1-1
1110	84-85	0.122980918348	brain100-1-1
1110	86-87	0.0739784493713	brain100-1-1
1110	88-89	0.050496790678	brain100-1-1
1110	90-91	0.244971780069	brain100-1-1
1110	92-93	0.0187426417428	brain100-1-1
1110	94-95	0.0402755872062	brain100-1-1
1110	96-97	0.123836767964	brain100-1-1
1110	98-99	-0.0953679829747	brain100-1-1
1110	100	0.0602114352109	brain100-1-1
1111	1	0.0223557403057	brain100-1-1
1111	2	-0.406096354221	brain100-1-1
1111	3	-0.245007662444	brain100-1-1
1111	4	-0.115523587197	brain100-1-1
1111	5	-0.056539110002	brain100-1-1
1111	6	-0.0489662935568	brain100-1-1
1111	7	-0.00913257906502	brain100-1-1
1111	8	-0.0549057180492	brain100-1-1
1111	9	0.0663274299434	brain100-1-1
1111	10-11	-0.045344832925	brain100-1-1
1111	12-13	-0.0557879523175	brain100-1-1
1111	14-15	-0.129165261852	brain100-1-1
1111	16-17	-0.0661920415416	brain100-1-1
1111	18-19	0.0423313853869	brain100-1-1
1111	20-21	-0.0441420971813	brain100-1-1
1111	22-23	-0.0862248388085	brain100-1-1
1111	24-25	0.0252666182427	brain100-1-1
1111	26-27	-0.0802356193996	brain100-1-1
1111	28-29	-0.0147727455121	brain100-1-1
1111	30-31	-0.135263750261	brain100-1-1
1111	32-33	-0.220284698051	brain100-1-1
1111	34-35	-0.12070496241	brain100-1-1
1111	36-37	-0.156800041162	brain100-1-1
1111	38-39	0.0462718961234	brain100-1-1
1111	40-41	-0.135716129915	brain100-1-1
1111	42-43	-0.0792958503952	brain100-1-1
1111	44-45	-0.182060146781	brain100-1-1
1111	46-47	0.0725475286475	brain100-1-1
1111	48-49	-0.0958954587613	brain100-1-1
1111	50-51	-0.185402764512	brain100-1-1
1111	52-53	-0.189982350895	brain100-1-1
1111	54-55	-0.122419925597	brain100-1-1
1111	56-57	-0.0194400049059	brain100-1-1
1111	58-59	-0.114081377542	brain100-1-1
1111	60-61	-0.13915320273	brain100-1-1
1111	62-63	-0.145785966098	brain100-1-1
1111	64-65	-0.196532953412	brain100-1-1
1111	66-67	-0.0766045896545	brain100-1-1
1111	68-69	-0.0734375247201	brain100-1-1
1111	70-71	-0.29800329893	brain100-1-1
1111	72-73	-0.138176234129	brain100-1-1
1111	74-75	-0.211284769472	brain100-1-1
1111	76-77	-0.344466949816	brain100-1-1
1111	78-79	-0.404840004454	brain100-1-1
1111	80-81	-0.0797206443671	brain100-1-1
1111	82-83	0.0105579927451	brain100-1-1
1111	84-85	-0.103636316684	brain100-1-1
1111	86-87	-0.289486583142	brain100-1-1
1111	88-89	-0.347230482049	brain100-1-1
1111	90-91	-0.286278219931	brain100-1-1
1111	92-93	-0.242605946636	brain100-1-1
1111	94-95	-0.342318829871	brain100-1-1
1111	96-97	-0.223531653088	brain100-1-1
1111	98-99	0.0521535987574	brain100-1-1
1111	100	-0.260050002698	brain100-1-1
1112	1	-0.0205014025515	brain100-1-1
1112	2	-0.168001116126	brain100-1-1
1112	3	-0.387864805301	brain100-1-1
1112	4	-0.210761682435	brain100-1-1
1112	5	-0.15177720524	brain100-1-1
1112	6	-0.0346805792711	brain100-1-1
1112	7	-0.0662754362079	brain100-1-1
1112	8	0.0958879327444	brain100-1-1
1112	9	0.109184572801	brain100-1-1
1112	10-11	0.036401198821	brain100-1-1
1112	12-13	-0.00578795231747	brain100-1-1
1112	14-15	-0.109323992011	brain100-1-1
1112	16-17	0.00761748226792	brain100-1-1
1112	18-19	-0.0671924241369	brain100-1-1
1112	20-21	0.0741118710727	brain100-1-1
1112	22-23	0.0209180183343	brain100-1-1
1112	24-25	0.092726935703	brain100-1-1
1112	26-27	0.134050094886	brain100-1-1
1112	28-29	-0.00524893598826	brain100-1-1
